USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root        4166  0.0  2.3 596620 144876 ?       Ssl  23:04   0:01 /usr/libexec/
mackajay    4616  0.0  0.1  39128 11904 ?        Ss   23:05   0:00 /snap/snapd-d
mackajay    4782  0.0  0.5 503316 31224 ?        Sl   23:05   0:00 /snap/snapd-d
root        4990  0.0  0.0      0     0 ?        S    23:05   0:00 [psimon]
mackajay    5080  0.5  3.8 2098168 235520 ?      Sl   23:05   0:15 /usr/bin/gnom
root        5147  0.0  0.0      0     0 ?        I    23:06   0:00 [kworker/1:0-
root        5177  0.0  0.0      0     0 ?        I    23:13   0:00 [kworker/0:2-
root        5283  0.0  0.0      0     0 ?        I    23:25   0:00 [kworker/u6:2
root        5292  0.0  0.0      0     0 ?        I    23:30   0:00 [kworker/2:3-
mackajay    5295 10.3  6.4 11462916 393800 ?     Sl   23:34   2:03 /snap/firefox
mackajay    5508  0.0  0.8 213400 49024 ?        Sl   23:34   0:00 /snap/firefox
mackajay    5558  0.0  1.5 2435008 95784 ?       Sl   23:34   0:00 /snap/firefox
mackajay    5590  0.1  2.0 2471408 126596 ?      Sl   23:34   0:01 /snap/firefox
mackajay    5636  0.0  0.3 1313000 20416 ?       Sl   23:34   0:00 /usr/bin/snap
mackajay    5951  0.0  0.9 347056 57728 ?        Sl   23:34   0:00 /snap/firefox
mackajay    5959  0.1  1.9 2460732 116780 ?      Sl   23:34   0:01 /snap/firefox
mackajay    6207 24.7 19.6 3802200 1194112 ?     Sl   23:35   4:46 /snap/firefox
mackajay    6273  0.5  3.3 87193828 201380 ?     Rl   23:38   0:05 /usr/bin/yelp
mackajay    6303  0.0  0.7 86708464 46208 ?      SLl  23:38   0:00 /usr/lib/x86_
mackajay    6309  1.3  3.6 108027800 220512 ?    RLl  23:38   0:12 /usr/lib/x86_
mackajay    6343  1.4  8.0 2249972 485520 ?      Sl   23:38   0:13 /snap/snap-st
mackajay    6556  0.2  3.7 2141748 226688 ?      Sl   23:38   0:02 /usr/bin/naut
mackajay    6615  0.0  0.1 396900  8576 ?        Sl   23:38   0:00 /usr/libexec/
root        6645  0.0  0.0      0     0 ?        I    23:39   0:00 [kworker/0:0-
mackajay    6723  0.0  1.2 2399676 74480 ?       Sl   23:42   0:00 /snap/firefox
mackajay    6754  0.0  1.0 377032 63588 ?        Sl   23:42   0:00 /snap/firefox
root        6770  0.0  0.0      0     0 ?        I    23:42   0:00 [kworker/1:1-
mackajay    6776  0.0  1.2 2399672 74752 ?       Sl   23:42   0:00 /snap/firefox
mackajay    6789  0.0  1.2 2399680 75648 ?       Sl   23:42   0:00 /snap/firefox
root        6867  0.0  0.0      0     0 ?        I    23:43   0:00 [kworker/u6:0
root        7117  0.0  0.0      0     0 ?        I    23:49   0:00 [kworker/u6:3
root        7147  0.0  0.0      0     0 ?        I    23:50   0:00 [kworker/0:1]
root        7148  0.0  0.0      0     0 ?        I    23:50   0:00 [kworker/0:3]
root        7337  0.0  0.0      0     0 ?        I    23:51   0:00 [kworker/1:2-
root        7466  0.4  0.1 381884  9216 ?        Ssl  23:54   0:00 /usr/libexec/
mackajay    7514  4.5  1.0 2819548 61816 ?       Sl   23:54   0:00 gjs /usr/shar
mackajay    7548  0.0  0.0  22416  4608 pts/0    R+   23:54   0:00 ps aux
